"","А","Б","В","Г","Є","Д","Ж","З","О","П","Р","С","У","Ф","Х","Ц","І","М","К","Л","Ш","Е","Ю","Я","","","","",""
"А","","АлБанія","АкВа","АнГар","АЄ","АД","АлЖир","АЗи","АлО","АмПула","АдРеса","АС","АкУла","АрФа","АХ","АкЦія","АлІбі","АлМаз","АрКа","АтЛас","АнШлаг","АлЕя","АлЮміній","АЯ","","","","",""
"Б","БлАнк","","БоВдур","БоГ","Б'Є","БіДон","БіЖи","БаЗіка","БО","БіП","БаР","БаС","БрУсок","БаФ","БаХ","БаЦ","БлІц","БаМ","БаК","БаЛ","БаШта","БлЕф","БлЮз","БаЯн","","","","",""
"В","ВлАда","ВиБух","","ВаГон","ВиЄ","ВиД","ВаЖіль","ВіЗ","ВіОлета","ВіП","ВаР","ВаС","ВнУк","ВаФля","ВаХта","ВіЦе","ВзІрець","ВаМ","ВаКцина","ВаЛ","ВаШ","ВжЕ","ВиЮ","ВіЯ","","","","",""
"Г","ГрА","ГоБлін","ГоВір","","ГіЄна","ГаД","ГриЖа","ГаЗ","ГлОво","ГоП","ГоРа","ГоСті","ГрУпа","ГіФка","ГаХ","ГоЦ","ГрІм","ГіМн","ГаК","ГаЛя","ГаШу","ГлЕк","ГлЮк","ГаЯти","","","","",""
"Є","ЄвА","ЄБ","ЄВ","ЄвГен","","ЄД","ЄЖ","ЄЗ","ЄнОт","ЄвПаторія","ЄвРо","ЄС","ЄУ","ЄФ","ЄХ","ЄЦ","ЄтІ","ЄрМак","ЄК","ЄЛ","ЄШ","ЄЕ","ЄЮ","ЄЯ","","","","",""
"Д","ДвА","ДуБ","ДиВо","ДоГ","ДуЄ","","ДуЖе","ДиЗель","ДрОва","ДоПомога","ДаР","ДаСтер","ДрУг","ДаФ","ДаХ","ДоЦеннт","ДвІр","ДаМа","ДоК","ДаЛь","ДаШок","ДвЕрі","ДзЮб","ДіЯ","","","","",""
"Ж","ЖА","ЖаБа","ЖиВчик","ЖаГа","ЖиЄ","ЖоДен","","ЖиЗа","ЖлОб","ЖуПан","ЖоР","ЖаСмін","ЖУ","ЖФ","ЖаХ","ЖЦ","ЖІ","ЖМ","ЖаК","ЖаЛь","ЖеШув","ЖивЕ","ЖиЮ","ЖиЯ","","","","",""
"З","ЗнАк","ЗаБій","ЗаВтра","ЗаГадка","ЗаЄць","ЗаД","ЗоЖ","","ЗлО","ЗаПал","ЗаРа","ЗаСіб","ЗвУк","ЗеФір","ЗаХід","ЗаЦ","ЗвІр","ЗаМ","ЗаКон","ЗаЛ","ЗоШит","ЗлЕ","ЗлЮка","ЗоЯ","","","","",""
"О","ОпА","ОрБан","ОВ","ОГ","ОлЄ","ОрДен","ОЖ","ОрЗо","","ОП","ОР","ОбСтавина","ОкУнь","ОФ","ОХ","ОЦ","ОцІ","ОМ","ОК","ОбЛасть","ОШ","ОлЕ","ОлЮ","ОлЯ","","","","",""
"П","ПлАкса","ПаБ","ПаВа","ПаГорб","ПоЄднання","ПіД","ПиЖик","ПаЗл","ПрОцес","","ПоРа","ПаС","ПлУг","ПаФос","ПаХ","ПаЦюк","ПлІтка","ПоМідор","ПаК","ПаЛець","ПоШта","ПрЕфікс","ПлЮвок","ПиЯк","","","","",""
"Р","РА","РаБ","РіВ","РіГ","РиЄ","РаДий","РиЖик","РаЗ","РО","РіПа","","РиС","РУ","РаФ","РаХів","РаЦс","РІ","РиМ","РіК","РеЛе","РеШта","РЕ","РЮ","РЯ","","","","",""
"С","СлАва","СоБака","СоВок","СлЕнг","СіЄста","СиДр","СЖ","СеЗон","СлОво","СаП","СаРа","","СкУнс","СаФарі","СаХара","СиЦилія","СлІд","СаМ","СаКура","СеЛо","СаШа","СтЕп","СіЮ","СвЯто","","","","",""
"У","УрА","УБ","УВ","УжГород","УЄ","УДав","УЖ","УзВар","УзОр","УПав","УРна","УСта","","УФ","УХ","УЦ","УвІйти","УМ","УКраїна","УЛяна","УШ","УжЕ","УЮ","УЯ","","","","",""
"Ф","ФАра","ФаБ","ФаВорит","ФаГот","ФЄ","ФіДель","ФЖ","ФаЗа","ФОра","ФоП","ФаРт","ФоСа","ФУ","","ФаХ","ФаЦ","ФрІзбі","ФіМа","ФоКус","ФЛяга","ФаШист","ФЕя","ФЮрер","ФлЯк","","","","",""
"Х","ХмАра","ХаБ","ХВ","ХГ","ХиЄ","ХоДа","ХиЖак","ХаЗяїн","ХОр","ХіПі","ХРам","ХаСид","ХУк","ХФ","","ХаЦ","ХлІв","ХоМа","ХеК","ХЛопець","ХеШтег","ХЕк","Х'Юстон","ХЯ","","","","",""
"Ц","ЦАр","ЦиБуля","ЦВях","ЦеГла","ЦЄ","ЦіДити","ЦеЖ","ЦеЗар","ЦО","ЦаП","ЦиРк","ЦиСтерна","ЦУкіні","ЦиФра","ЦеХ","","ЦІ","ЦуМ","ЦуКор","ЦеЛюліт","ЦШ","ЦЕ","ЦЮрих","ЦЯ","","","","",""
"І","ІрА","ІБрагім","ІВан","ІГор","ІнЄкція","ІДол","ІнЖир","ІЗ","ІкОна","ІПодром","ІРис","ІкС","ІдУ","ІФ","ІХ","ІнЦидент","","ІМ'я","ІКра","ІЛ","ІШак","ІдЕя","ІлЮзія","ІЯ","","","","",""
"М","МАма","МоБілка","МаВпа","МаГ","МаЄток","МеД","МеЖа","МаЗ","МнОжина","МаПа","МаРка","МаСть","МаУглі","МаФ","МіХ","МаЦа","МІ","","МаК","МуЛ","МаШина","МЕр","МиЮ","МоЯ","","","","",""
"К","КАт","КаБ","КаВа","КаГор","КиЄ","КоД","КаЖан","КаЗка","КОроп","КоП","КоР","КоСа","КУм","КаФка","КаХель","КаЦ","КІшка","КаМінь","","КаЛина","КаШтан","КЕрч","КлЮч","КиЯнин","","","","",""
"Л","ЛАк","ЛаБа","ЛаВа","ЛуГ","ЛиЄ","ЛіДер","ЛаЖа","ЛаЗня","ЛОсь","ЛаПа","ЛоР","ЛиС","ЛУк","ЛіФт","ЛиХо","ЛиЦе","ЛІки","ЛіМа","ЛиК","","ЛиШ","ЛЕ","ЛЮк","ЛЯ","","","","",""
"Ш","ШлАк","ШаБля","ШоВ","ШаГ","ШиЄ","ШеДевр","ШЖ","ШиЗа","ШО","ШПак","ШаРа","ШаСі","ШУм","ШаФа","ШаХта","ШаЦьк","ШІсть","ШМат","ШиК","ШЛях","","ШрЕдер","ШиЮ","ШиЯ","","","","",""
"Е","ЕрА","ЕмБлема","ЕВакуація","ЕГ","ЕЄ","ЕДуард","ЕЖ","ЕкЗамен","ЕвОлюція","ЕПітет","ЕРнест","ЕСе","ЕмУ","ЕльФ","ЕХо","ЕЦ","ЕлІта","ЕМо","ЕКран","ЕЛекртик","ЕШелон","","ЕЮ","ЕЯ","","","","",""
